Id;URL;Text;Timestamp;Impressions (Organic);Impressions (Paid);Favorites (Organic);Favorites (Paid);Retweets (Organic);Retweets (Paid);Replies (Organic);Replies (Paid);Quotes;Link Clicks (Organic);Link Clicks (Paid);Profile Clicks (Organic);Profile Clicks (Paid);Engagement;Video views (Organic);Video views (Paid)
"1620397163510665216";"https://twitter.com/a/status/1620397163510665216";"Repatrían uno de los aviones de la muerte de la ESMA https://t.co/qRtSwoqvQC";2023-01-31 08:22;"1747";"0";"6";"0";"1";"0";"1";"0";"1";"8";"0";"2";"0";"10.88";;
"1620392052096897031";"https://twitter.com/a/status/1620392052096897031";"Detenido y con posible extradición, el Ministro de Seguridad  de la Nación, @FernandezAnibal habló sobre la situación de Jones Huala. https://t.co/n6I03pRLP8";2023-01-31 08:02;"7834";"0";"20";"0";"8";"0";"7";"0";;;;"1";"0";"4.6";"3314";"0"
"1620380037928067072";"https://twitter.com/a/status/1620380037928067072";"Recorremos el mundo en esta síntesis de noticias.

✅ Una bomba explotó en una mezquita, al menos 83 muertos en Pakistán. 
✅ Fuga de narcos en Brasil, utilizaron una escalera y sábanas. 
✅ La CIDH condena a Colombia, por la muerte de seis mil políticos y militantes. https://t.co/U1A5zFWXFy";2023-01-31 07:14;"1705";"0";"2";"0";;;;;;;;;;"1.17";"495";"0"
"1620378723152166912";"https://twitter.com/a/status/1620378723152166912";"¿Cómo están los accesos a la ciudad de Buenos Aires? 

Sentido acceso oeste, volcó un camión en el camino del Buen Ayre. 

Ingreso a la Autopista 25 de mayo, choque en la conexión autopista La Plata-Bs As. https://t.co/eMAbl9ek8T";2023-01-31 07:09;"2379";"0";"2";"0";"1";"0";;;;;;"3";"0";"2.52";"828";"0"
"1620377734605144064";"https://twitter.com/a/status/1620377734605144064";"Comenzamos una nueva edición de #TCPNoticas con toda la información que tenés que saber antes de comenzar tu día. 

Más noticias en https://t.co/GYiXqQWnBq https://t.co/LqtZMcxk5F";2023-01-31 07:05;"2052";"0";"1";"0";;;"1";"0";;;;"4";"0";"2.92";"521";"0"
"1620301877433745411";"https://twitter.com/a/status/1620301877433745411";"La K'onga interpreta ""Yo No Te Pido la Luna"" y se arma la fiesta del cuarteto cordobés con la Plaza Próspero Molina saltando y bailando en #FestivalPaís.

Disfruta de Cuarteto Cosquín 2023 en https://t.co/UZOlx7UTP4 https://t.co/NroDD7TSHD";2023-01-31 02:04;"3318";"0";"36";"0";"7";"0";"6";"0";;"11";"0";"19";"0";"23.81";"1534";"0"
"1620300014353354753";"https://twitter.com/a/status/1620300014353354753";"¡A bailar con La K'onga en Cosquín! En un marco festivo, el grupo interpreta el hit ""Ya no más"" y lo baila todo Córdoba en el anfiteatro Próspero Molina.

Mirá #FestivalPaís en https://t.co/UZOlx7UTP4 https://t.co/9U4LZjzVAJ";2023-01-31 01:56;"2930";"0";"21";"0";"2";"0";"3";"0";"1";"2";"0";"4";"0";"11.26";"1200";"0"
"1620287984053493760";"https://twitter.com/a/status/1620287984053493760";"El momento romántico de Q' Lokura interpretando ""A un Milímetro de Ti"" y ""Si un Día Vuelves"" con el coro protagonista del público en el Anfiteatro Próspero Molina en Cuarteto Cosquín 2023.

Mirá #FestivalPaís en https://t.co/UZOlx7UTP4 https://t.co/lsGjzae96Z";2023-01-31 01:08;"3270";"0";"20";"0";"2";"0";"1";"0";"1";;;"13";"0";"11.31";"1577";"0"
"1620284886652166144";"https://twitter.com/a/status/1620284886652166144";"¡Arriba Cosquín con Q' Lokura! El grupo de cuarteto interpreta ""Perfecta"" y se tiran los pasos prohibidos en la Plaza Próspero Molina.

Mirá #FestivalPaís en https://t.co/UZOlx7UTP4 https://t.co/s2XW0XC35H";2023-01-31 00:56;"4089";"0";"47";"0";"7";"0";"2";"0";;"4";"0";"26";"0";"21.03";"1875";"0"
"1620269154052833280";"https://twitter.com/a/status/1620269154052833280";"En la Plaza Próspero Molina se respira cuarteto, Dale Q' Va tiene una invitada especial... ¡Magui Olave vuelve al escenario!  

Disfrutá la noche más cuartetera en https://t.co/fnEKkuadQ9 https://t.co/tBJnpAfqlY";2023-01-30 23:54;"4827";"0";"19";"0";"2";"0";;;"1";"2";"0";"16";"0";"8.29";"2610";"0"
"1620259497162772483";"https://twitter.com/a/status/1620259497162772483";"¡Baila Cosquín, baila #FestivalPaís! En la primera noche cuartetera se escucha ""Después de ti"" de la mano de Dale Q' Va.

El cuarteto se vive en https://t.co/fnEKkuadQ9 https://t.co/67zuKvDRzN";2023-01-30 23:15;"2879";"0";"15";"0";;;"1";"0";;"3";"0";"6";"0";"8.68";"1154";"0"
"1620243479908474883";"https://twitter.com/a/status/1620243479908474883";"De Córdoba para todo el país, la Banda XXI se sube al escenario coscoíno para interpretar una versión cuartetera de ""Olvídala"".

Disfrutá @CosquinCuarteto en https://t.co/fnEKkuadQ9 https://t.co/tvW00fRKSX";2023-01-30 22:12;"8416";"0";"122";"0";"26";"0";"3";"0";"8";"15";"0";"87";"0";"31.01";"4592";"0"
"1620231742408859649";"https://twitter.com/a/status/1620231742408859649";"El folclore se despidió de la Plaza Próspero Molina para cederle el lugar al... ¡Cuarteto! 

Magui Olave inaugura esta noche cuartetera en Cosquín.

Sumate a #FestivalPaís en https://t.co/fnEKkuadQ9 https://t.co/iIKi39nL1a";2023-01-30 21:25;"15831";"0";"72";"0";"11";"0";"12";"0";"3";"9";"0";"49";"0";"9.85";"8233";"0"
